Номер	Наименование	ПрофГигиенамин	ПрофГигиенамакс	Удалениезубамин	Удалениезубамакс	Имплантациямин
1	Авторская стоматология Кондратьевой	1,5	3			
2	Альянс	3,5	3,5			
3	Астория	4	4	3	5,3	
4	ВАБ	3	3	1	3	12
5	Ваш доктор	3,6	6	7	8	44
6	Вега Дент	3	3			22
7	Витадент	2,24	2,24			
8	Дантист	3	5	2,5	4	40
9	Кадент	2,2	2,2				
10	Карамель	2,6	2,6	2,5	5	43,5
11	Наша стоматология	3,5	3,5	2	3	30
12	Олимп 03	5	6	2,5	7	60
13	Оптима-дент	3	3	2	4	
14	Пломбир36	4	4	1,5	5	
15	Стоматолог плюс	4,5	4,5			43
16	Стомат.кабинет Фролова	2,5	2,5	2,5	2,5	35
17	Стоматология	2,5	2,5	3	6	40
18	Стоматология на Никитинской	2,5	2,5	3	6	40
19	Стоматология-911 (36-46)	2	2	1,2	2,5	36
20	Тари-дент	2,5	2,5	3	6	38
21	Факел	3,6	3,6	3	7	60
22	Добрая	4,5	4,5	4	8	40
23	Holy Dent (импл. 18/30/50)	4,5	4,5	4	8	18
24	Klaus Berg	5	5	3,2	3,2	50


