Name	Count
ОРД-A16.07.028.001(1) 	 236
";" 	 6361
ОБЩ-А02.07.001.001(1) 	 1053
ОРД-A16.07.028.005(1) 	 72
ОБЩ-А16:07.051.0021(1) 	 26
ОБЩ-B01:066.002(1) 	 389
ОРТ-А16:07.021.003(1) 	 199
ОБЩ-А16:07.051.0022(1) 	 14
ОБЩ-B01:063.002(1) 	 403
ОБЩ-B01:067.002(1) 	 95
ОБЩ-B01:068.001(1) 	 16
ОБЩ-А02:07.011(1) 	 42
ОРД-A16.07.048.001(1) 	 25
ОБЩ-В01:069.001(1) 	 55
ОБЩ-В03.066.001(1) 	 27
ОРТ-А16:07.021.001(1) 	 33
ЛК-А23:07.002.091(1) 	 5
ОРТ-А02:07.010.0011(1) 	 6
ОБЩ-B01:003.004.002(1) 	 191
ОРТ-A16.07.049.001(1) 	 47
ОРТ-А02:07.010.005(1) 	 96
ОРД-A16.07.046.005(1) 	 7
ИМ-A16.07.054.001(1) 	 17
ОБЩ-B01:003.004.001(1) 	 55
ОБЩ-А06:07.003(1) 	 71
ПАР-А16:07.040.001(1) 	 8
ПАР-А16:07.097(1) 	 60
ХР-А16:07.001.003(1) 	 18
ОРТ-A16.07.004.003(1) 	 12
ТР-А16:07.002.014(1) 	 55
ТР-A16.07.093.001(1) 	 7
ТР-A16.07.002.017(1) 	 175
ОРД-A16.07.028.012(1) 	 10
ОБЩ-B01:003.004.002(2) 	 10
ОБЩ-B01:003.004.003(1) 	 227
ОРТ-A16.07.006.010(1) 	 9
ПАР-А16:07.040.001(2) 	 1
ХР-А16:07.017.003(1) 	 2
ХР-А16:07.055.003(2) 	 1
ХР-А16:07.055.005(2) 	 1
ХР-А16:07.055.008(1) 	 2
ХР-А16:07.055.010(1) 	 1
ХР-А16:07.055.012(1) 	 1
ХР-А16:07.055.013(6) 	 1
ОРД-Ф16.07.047.007(1) 	 1
ОБЩ-А16:07.051.0072(1) 	 1
ОБЩ-А22:07.002(1) 	 24
ИМ-A16.07.054.003(1) 	 24
ОБЩ-B01:068.002(1) 	 30
ОБЩ-BO1.065:002(1) 	 68
ОБЩ-А16:07.051.001(2) 	 63
ТР-A16.07.025.001(1) 	 174
ТР-A16.07.082(1) 	 109
ОБЩ-B01:065.001(1) 	 15
ТР-А16:07.002.013(1) 	 31
ТР-A16.07.094.001(1) 	 1
ОБЩ-А16:07.051(1) 	 48
ОБЩ-А02:07.004(1) 	 9
ОБЩ-А16.07.050.005(3) 	 1
ОБЩ-А06:07.003(2) 	 19
ТР-А16:07.002.007(1) 	 35
ТР-А16:07.082.002(1) 	 4
ОБЩ-B01:068.002(4) 	 1
ПАР-А16:07.026(1) 	 6
ОБЩ-B01:067.001(1) 	 18
ОРТ-A16.07.049.005(1) 	 84
ОРТ-A16.07.049.004(1) 	 41
ТР-А16:07.002.006(1) 	 6
ЛК-А23:07.002.036(1) 	 6
ОРТ-А02:07.010.001(2) 	 24
ОБЩ-B01:063.001(1) 	 18
ОРТ-A16.07.003.002(1) 	 24
ОРТ-A16.07.049.003(1) 	 33
ОРТ-А02:07.010.005(2) 	 78
ОБЩ-А02.07.001.001(3) 	 11
ОБЩ-A16.07.050.001(1) 	 1
ОРД-A16.07.028.003(1) 	 389
ТР-А16:07.002.016(1) 	 58
ОРД-A16.07.028.010(1) 	 17
ХР-А16:07.001.002(1) 	 36
ХР-А16:07.055.011(1) 	 10
ОРТ-А16:07.021.003(8) 	 2
ОБЩ-А02.07.001.001(10) 	 1
ХР-А16:07.001.001(1) 	 4
ОБЩ-А02.07.001.001(9) 	 1
ОРТ-А16:07.021.002(1) 	 3
ОБЩ-А16:07.051.002(1) 	 23
ТР-A16.07.019(1) 	 1
ОБЩ-А06:07.003(3) 	 5
ЛК-А23:07.002.086(1) 	 4
ОРТ-A02.07.006.004(1) 	 5
ОРТ-A16.07.004.001(1) 	 42
ОРТ-A16.07.004.009(1) 	 106
ОБЩ-B01:003.004.001(2) 	 3
ОРТ-А02:07.010.001(1) 	 16
ОРТ-А02:07.010.004(1) 	 21
ОБЩ-B01:067.002(2) 	 2
ОРТ-A16.07.006.011(1) 	 5
ХР-А16:07.001.004(1) 	 9
ОРД-A16.07.028.003(10) 	 1
ТР-А16:07.002.015(1) 	 51
ТР-A16.07.002.017(2) 	 5
ОБЩ-B01:066.001(1) 	 10
ПАР-А16:07.097.001(1) 	 7
ОБЩ-B01:003.004.003(2) 	 16
ОРТ-A02.07.006.002(1) 	 11
ОРД-A16.07.028.012(2) 	 1
ОБЩ-А02.07.001.001(2) 	 14
ОРТ-A16.07.004.004(1) 	 14
ОРТ-A16.07.006.003(1) 	 1
ОРТ-A16.07.006.007(1) 	 11
ОРТ-А02:07.010.003(1) 	 3
ИМ-A16.07.054.002(1) 	 6
ХР-А16:07.024(1) 	 13
ТР-А16:07.030.005(2) 	 3
ТР-А22:07.004.001(2) 	 2
ЛК-А23:07.002.035(1) 	 1
ЛК-А23:07.002.034(1) 	 4
ОРД-A16.07.028.004(1) 	 12
ОРТ-A16.07.003.001(1) 	 11
ОРТ-A02.07.006.001(1) 	 22
ТР-A16.07.082(2) 	 1
ОБЩ-А16:07.051.001(1) 	 12
ОРТ-A16.07.053(2) 	 3
ОРТ-A02.07.006.005(1) 	 1
ОРТ-A02.07.006.006(1) 	 19
ОРТ-A02.07.010.001(1) 	 7
ОРТ-A16.07.004.007(1) 	 1
ОБЩ-А02.07.001.001(4) 	 4
ТР-А02:07.003(1) 	 2
ОБЩ-B01:003.004.003(3) 	 1
ТР-А16:07.008.001(3) 	 4
ТР-А16:07.030(3) 	 1
ТР-А22:07.004(3) 	 2
ТР-А16:07.030.005(4) 	 2
ТР-А16:07.082.001(2) 	 1
ОБЩ-B01:003.004.002(4) 	 2
ОБЩ-B01:003.004.003(8) 	 3
ОБЩ-А02.07.001.001(6) 	 3
ОРД-A16.07.048.002(2) 	 1
ОРД-A16.07.028.003(6) 	 1
ОРД-A16.07.048.002(1) 	 7
ТР-А16:07.030(1) 	 26
ТР-А22:07.004(1) 	 11
ТР-А16:07.008.001(1) 	 6
ОРТ-A16.07.004.002(1) 	 60
ОРД-A16.07.028.009(2) 	 1
ОРТ-A16.07.049.005(3) 	 1
ОРТ-A16.07.053(3) 	 1
ОРТ-А02:07.010.002(1) 	 3
ОРТ-A16.07.023.001(2) 	 1
ОРТ-А02:07.010.001(3) 	 1
ЛК-А23:07.002.039(1) 	 2
ОРТ-A16.07.023.002(1) 	 2
ОБЩ-А02.07.001.001(5) 	 4
ОБЩ-А16:07.051.009(1) 	 6
ХР-А16:07.011(1) 	 2
ОРТ-A16.07.053(1) 	 38
ОРТ-А16:07.021.004(1) 	 14
ТР-А16:07.008.001(2) 	 2
ТР-А16:07.030(2) 	 2
ОРТ-A16.07.049.006(6) 	 1
ОРД-A16.07.046.005(2) 	 2
ОБЩ-B01:003.004.002(8) 	 2
ОБЩ-А06:07.003(5) 	 1
ТР-А22:07.004(2) 	 2
ТР-A16.07.025.001(2) 	 2
ОРТ-А23.07.002.088(1) 	 4
ТР-A16.07.002.017(3) 	 1
ЛК-А23:07.002.044(1) 	 1
ОРТ-A16.07.023.001(1) 	 2
ОРТ-A16.07.049.002(1) 	 71
ОРТ-A16.07.082(1) 	 1
ОРТ-A16.07.006.013(1) 	 4
ПАР-А16:07.097(2) 	 2
ХР-А16:07.055.003(1) 	 1
ХР-А16:07.055.005(1) 	 1
ХР-А16:07.055.009(7) 	 1
ТР-А16:07.030.005(1) 	 13
ТР-А16:07.082.001(1) 	 9
ОРТ-A16.07.006.001(1) 	 7
ОРТ-A16.07.006.009(1) 	 5
ТР-А22:07.004.001(1) 	 12
ОРД-A16.07.028.003(14) 	 2
ОРТ-А16:07.025.003(1) 	 7
ТР-A16.07.003.001(1) 	 10
ТР-А16:07.002.016(1) 	 1
ОБЩ-B01:003.004.003(4) 	 2
ОРТ-A16.07.049.001(6) 	 1
ЛК-А23:07.002.092(1) 	 5
ТР-A16.07.094(1) 	 1
ОРД-A16.07.028.012(6) 	 1
ОРД-A16.07.046.001(1) 	 1
ОБЩ-B01:003.004.001(6) 	 1
ОБЩ-B01:003.004.002(6) 	 2
ОРД-A16.07.028.001(12) 	 1
ОРД-A16.07.048.001(2) 	 1
ОБЩ-А02.07.001.001(12) 	 1
ОРД-A16.07.028.009(1) 	 1
ОРТ-А02:07.010.001(4) 	 2
ОРТ-A16.07.053.001(1) 	 15
ОБЩ-B01:066.002(2) 	 3
ХР-А16:07.058(1) 	 1
ЛК-А23:07.002.037(1) 	 2
ТР-А16:07.082.002(2) 	 2
ОРТ-A16.07.049.006(1) 	 5
ПАР-А16:07.040.002(1) 	 1
ОРТ-A16.07.053.001(2) 	 1
ОБЩ-А06:07.003(4) 	 1
ОРТ-A16.07.006.008(1) 	 3
ОРТ-A16.07.049.006(2) 	 2
