number unds seas4 seas5 seas6 seas7 seas8 seas9 seas10 seas11
1  ОБЩ-B01:003.004.001(1)     6     1     3     3     4     3      4      2
2       ПАР-А16:07.097(1)     6     0     2     2     3     4      5      3
3    ХР-А16:07.001.004(1)     3     0     1     0     0     1      2      1
4    ХР-А16:07.055.011(1)     1     0     1     1     0     1      4      2
5  ОБЩ-B01:003.004.003(1)     3     0     4     4     2     4      2      0
6    ХР-А16:07.001.002(1)     1     0     4     4     7    11      0      2
7       ОБЩ-А06:07.003(1)     0     0     1     1     0     1      2      2
8    ХР-А16:07.001.003(1)     2     1     1     2     1     2      3      1
9        ХР-А16:07.024(1)     1     1     1     0     2     1      1      0
10   ИМ-A16.07.054.001(1)     1     0     0     0     0     4      0      2
11      ОБЩ-А06:07.003(4)     1     0     0     0     0     0      0      0
12      ОБЩ-А06:07.003(2)     1     0     0     1     0     0      1      0
13       ХР-А16:07.011(1)     1     0     0     0     0     1      0      0
14      ПАР-А16:07.097(2)     0     1     0     1     0     0      0      0
15       ХР-А16:07.058(1)     0     1     0     0     0     0      0      0
16   ИМ-A16.07.054.002(1)     0     0     0     2     0     1      0      0
17   ИМ-A16.07.054.003(1)     0     0     0     1     0     1      0      0
18      ОБЩ-А06:07.003(3)     0     0     0     1     0     0      0      0
19  ОРТ-A16.07.006.013(1)     0     0     0     1     0     0      0      0
20  ПАР-А16:07.040.001(1)     0     0     0     1     0     0      0      0
21   ХР-А16:07.017.003(1)     0     0     0     1     0     0      0      0
22   ХР-А16:07.055.003(1)     0     0     0     1     0     0      0      0
23   ХР-А16:07.055.005(1)     0     0     0     1     0     0      0      0
24   ХР-А16:07.055.008(1)     0     0     0     1     0     0      0      0
25   ХР-А16:07.055.009(7)     0     0     0     1     0     0      0      0
26   ХР-А16:07.001.001(1)     0     0     0     0     0     2      0      2
27  ОРТ-A16.07.049.005(3)     0     0     0     0     0     1      0      0
28      ОРТ-A16.07.053(3)     0     0     0     0     0     1      0      0
29 ОБЩ-B01:003.004.002(1)     0     0     0     0     0     0      2      0

