Name	Count
(1) Прием (осмотр, консультация) врача-стоматолога-ортопеда повторный 	 59
(1) Обработка зуба десинсетайзером при гиперестезии (1 зуб) 	 3
(1) Избирательное полирование зуба 	 6
(1) Сошлифовывание твердых тканей зуба при лечении кариеса и его осложнений 	 8
(1) Восстановление зуба пломбой I, II, III, V, VI класс по Блэку с использованием материалов из фотополимера Ceram spheratek (1 поверхность) 	 2
(1) Абсолютная изоляция зуба (Рабер-Дам/ Опал-Дам/ Кофердам/ОптраГейт) 	 13
(1) Определение вида смыкания зубных рядов с помощью лицевой дуги электронной 	 1
(1) Пакет "АнтиСПИД-Антигепатит" 	 94
(1)  Профессиональная гигиена полости рта и зубов : чистка зубов методом Air-Flow ((полость рта)) со скидкой 50% ежемесячный визит для ортодонтических пациентов 	 4
(2) Ортодонтическая коррекция: фиксация несъемного ретейнера (1 зуб) 	 1
(1) Прием (осмотр, консультация) врача-ортодонта первичный 	 2
(1) Ортодонтическая коррекция, активация несъемной вестибулярной ортодонтической аппаратуры (ежемесячный платеж) 	 23
(1) Прием (осмотр, консультация) врача-ортодонта повторный 	 35
(1) Фиксация на временный цемент несъемных ортопедических конструкций (1 единица) 	 1
(2) Прием (осмотр, консультация) врача-стоматолога-ортопеда повторный 	 1
(1) Диагностика (диагностика вертикальной трещины корня) 	 1
(1) Инфильтрационная анестезия 	 17
(1) Фиксация внутриканального стекловолоконного штифта 	 1
(1) Инструментальная и медикаментозная обработка корневого канала 	 2
(1) Восстановление зуба пломбой I, II, III, V, VI класс по Блэку с использованием материалов из фотополимера Ceram spheratek (2 и более поверхности) 	 5
(1) Прием (осмотр, консультация) врача - гнатолога первичный 	 8
(1) Прием (осмотр, консультация) врача-стоматолога-терапевта повторный 	 6
(1) Ортодонтическая коррекция съемным одночелюстным ортодонтическим аппаратом с расширяющим винтом 	 1
(1) Ортодонтическая коррекция съемным одночелюстным ортодонтическим аппаратом 	 1
(1) Аксиография височно-нижнего челюстного сустава 	 5
(1) Комплекс исследований для диагностики состояния  зубочелюстной системы (клинико-инструментальное обследование) в том числе, с помощью  методов и средств лучевой  визуализации   	 4
(1) Коррекция прикуса с использованием съемных и несъемных ортопедических конструкций – сплинт-шина на 1 челюсть 	 3
(1) Прием (осмотр, консультация) врача-стоматолога-хирурга повторный 	 14
(1) Удаление постоянного зуба 	 3
(1) Профессиональная гигиена полости рта и зубов  + щетка Curaprox в подарок 	 16
(1) Прием (осмотр, консультация) врача-стоматолога-хирурга первичный 	 2
(1) Профессиональная гигиена полости рта и зубов   подарочный сертификат 	 4
(1) Контрольное посещение: коррекция сплинт- шины 1 челюсть/мышечная пальпация 	 19
(1) Прием (осмотр, консультация) врача-челюстно-лицевого хирурга первичный 	 2
(14) Ортодонтическая коррекция: фиксация брекета ( 1 единица) 	 3
(1) Ортодонтическая коррекция с применением брекет-системы металлической (1 челюсть) 	 2
(1) Аппликационная анестезия 	 14
(1) Ортодонтическая коррекция: фиксация несъемного ретейнера (1 зуб) 	 1
(1) Прием (осмотр, консультация) врача-челюстно-лицевого хирурга повторный 	 2
(2) Прицельная внутриротовая контактная рентгенография 	 4
(1) Проводниковая анестезия 	 5
