                     unds seas4 seas5 seas6 seas7 seas8 seas9 seas10 seas11
1  ОБЩ-B01:003.004.002(1)     5    50    19    13    11     8     17     12
2  ОБЩ-B01:003.004.003(1)     5    45    19    16    13    10     21     13
3    ТР-А16:07.002.007(1)     0     0     5     3     5     2      2      2
4        ТР-А16:07.030(1)     0     0     3     7     1     0      3      0
5    ТР-А16:07.030.005(1)     0     0     4     2     0     0      0      0
6    ТР-А16:07.082.001(1)     0     0     3     1     0     0      0      0
7    ТР-А22:07.004.001(1)     0     0     3     1     0     0      0      0
8    ТР-A16.07.002.017(1)     8    60    23    22    16    18     25     16
9   ОРТ-А02:07.010.005(1)     0     5     3     6     3     3      4      3
10   ТР-A16.07.003.001(1)     0     0     5     1     0     0      0      0
11   ТР-A16.07.025.001(1)     3    70    22    19    15    30     22     18
12  ОБЩ-А02.07.001.001(1)     7    60    20    23    13    17     25     16
13   ТР-А16:07.002.015(1)     2    30     4     5     5     5      8      5
14   ТР-А16:07.002.016(1)     3    20     6     0     3     0      4      0
15       ТР-A16.07.082(1)     0    30    14    19    12    24     13      6
16   ТР-А16:07.002.014(1)     1    25     6     5    10     6      7      6
17  ОБЩ-А02.07.001.001(3)     0     0     1     0     0     0      0      0
18   ТР-A16.07.002.017(2)     0     5     1     1     0     0      1      1
19   ТР-А16:07.002.013(1)     0     5     4     8     2     8      5      0
20 ОБЩ-B01:003.004.001(1)     0     0     1     2     3     5      1      1
21  ОРТ-A16.07.049.005(1)     0     0     2     3     0     0      2      0
22  ОБЩ-А02.07.001.001(2)     1     0     1     0     0     0      0      0
23      ОБЩ-А06:07.003(1)     1     0     1     0     3     0      2      1
24       ТР-A16.07.094(1)     0     0     1     0     0     0      0      0
25       ТР-А22:07.004(1)     0     0     1     3     0     0      1      0
26 ОБЩ-B01:003.004.003(2)     1     0     0     0     0     1      1      0
27   ТР-А16:07.008.001(3)     1     0     0     0     0     0      1      0
28   ТР-А16:07.082.002(2)     1     0     0     0     0     0      0      0
29  ОБЩ-А02.07.001.001(4)     1     0     0     0     0     0      0      0
30   ТР-A16.07.002.017(4)     1     0     0     0     0     0      0      0
31  ОБЩ-A16.07.002.017(1)     1     0     0     0     0     0      0      0
32  ОБЩ-А16:07.051.002(1)     0     5     0     0     0     0      0      0
33   ТР-А16:07.008.001(1)     0     0     0     3     0     0      1      0
34   ТР-А16:07.030.005(2)     0     0     0     1     0     1      0      0
35       ТР-А22:07.004(2)     0     0     0     1     0     0      0      0
36   ТР-A16.07.025.001(2)     0     0     0     1     0     0      0      0
37  ТР-А 16:07.002.016(1)     0     0     0    13     0    12      0      6
38   ТР-A16.07.002.017(3)     0     0     0     1     0     0      0      0
39   ТР-А16:07.002.006(1)     0     0     0     1     1     0      0      0
40   ТР-A16.07.093.001(1)     0     0     0     1     1     0      1      0
41   ТР-А16:07.082.002(1)     0     0     0     1     0     0      0      0
42      ОБЩ-А22:07.002(1)     0     0     0     0     5     0      2      0
43   ТР-А16:07.008.001(2)     0     0     0     0     1     0      0      0
44       ТР-А16:07.030(2)     0     0     0     0     1     0      0      0
45   ТР-А22:07.004.001(2)     0     0     0     0     0     1      1      0
46       ТР-A16.07.082(2)     0     0     0     0     0     1      0      0
47      ОБЩ-А16:07.051(1)     0     0     0     0     0     0      1      0
48       ТР-А02:07.003(1)     0     0     0     0     0     0      2      0
49 ОБЩ-B01:003.004.003(3)     0     0     0     0     0     0      1      0
50       ТР-А16:07.030(3)     0     0     0     0     0     0      1      0
51       ТР-А22:07.004(3)     0     0     0     0     0     0      1      0
52   ТР-А16:07.030.005(4)     0     0     0     0     0     0      1      0
53   ТР-А16:07.082.001(2)     0     0     0     0     0     0      1      0
54  ОРТ-A16.07.049.001(1)     0     0     0     0     0     0      1      0
55       ТР-A16.07.019(1)     0     0     0     0     0     0      0      1

